#NUMBER OF AGES= 1 MAGS= 6
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2484 2.1123E-03 1.0752E-03  -1.19   0.40 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: DECam (AB)
#----------------------------------------------------       
#AGE= 6.000 EEPS=271
#EEP   M/Mo    LogTeff  LogG   LogL/Lo DECam_u DECam_g DECam_r DECam_i DECam_z DECam_Y
 158  1.008979  3.8135  3.8813  0.7677  3.5403  3.0224  2.8096  2.7853  2.8049  2.8262
 159  1.009977  3.8111  3.8650  0.7751  3.5330  3.0083  2.7887  2.7611  2.7789  2.7992
 160  1.010966  3.8084  3.8475  0.7825  3.5280  2.9953  2.7678  2.7363  2.7521  2.7713
 161  1.011950  3.8052  3.8278  0.7895  3.5272  2.9845  2.7473  2.7109  2.7242  2.7420
 162  1.012618  3.8022  3.8117  0.7942  3.5306  2.9794  2.7334  2.6927  2.7036  2.7203
 163  1.013292  3.7992  3.7956  0.7982  3.5363  2.9763  2.7211  2.6757  2.6841  2.6995
 164  1.013973  3.7960  3.7795  0.8018  3.5448  2.9751  2.7101  2.6598  2.6655  2.6796
 165  1.014648  3.7924  3.7629  0.8045  3.5587  2.9770  2.7008  2.6452  2.6479  2.6605
 166  1.015298  3.7885  3.7456  0.8061  3.5821  2.9827  2.6931  2.6316  2.6310  2.6418
 167  1.015921  3.7845  3.7294  0.8066  3.6101  2.9916  2.6880  2.6207  2.6167  2.6256
 168  1.016512  3.7803  3.7136  0.8062  3.6419  3.0032  2.6857  2.6123  2.6047  2.6119
 169  1.017073  3.7760  3.6976  0.8051  3.6759  3.0172  2.6855  2.6057  2.5944  2.5996
 170  1.017623  3.7714  3.6809  0.8040  3.7121  3.0328  2.6862  2.5997  2.5842  2.5874
 171  1.018182  3.7667  3.6628  0.8031  3.7511  3.0487  2.6864  2.5927  2.5728  2.5738
 172  1.018777  3.7617  3.6431  0.8034  3.7916  3.0636  2.6842  2.5830  2.5584  2.5571
 173  1.019392  3.7569  3.6221  0.8054  3.8280  3.0738  2.6776  2.5691  2.5398  2.5364
 174  1.019939  3.7529  3.6022  0.8093  3.8533  3.0772  2.6669  2.5522  2.5190  2.5137
 175  1.020408  3.7496  3.5848  0.8138  3.8700  3.0763  2.6549  2.5352  2.4988  2.4920
 176  1.020834  3.7466  3.5682  0.8184  3.8846  3.0746  2.6430  2.5187  2.4794  2.4710
 177  1.021243  3.7439  3.5524  0.8239  3.8942  3.0698  2.6292  2.5010  2.4589  2.4493
 178  1.021637  3.7417  3.5372  0.8302  3.8987  3.0614  2.6131  2.4813  2.4370  2.4263
 179  1.021995  3.7399  3.5224  0.8378  3.8977  3.0491  2.5943  2.4598  2.4136  2.4019
 180  1.022315  3.7385  3.5093  0.8457  3.8908  3.0341  2.5747  2.4382  2.3906  2.3783
 181  1.022611  3.7374  3.4968  0.8540  3.8813  3.0175  2.5544  2.4163  2.3674  2.3546
 182  1.023039  3.7359  3.4780  0.8669  3.8640  2.9909  2.5227  2.3823  2.3319  2.3182
 183  1.023462  3.7346  3.4592  0.8805  3.8430  2.9618  2.4891  2.3467  2.2948  2.2805
 184  1.023878  3.7334  3.4403  0.8949  3.8187  2.9303  2.4537  2.3096  2.2565  2.2416
 185  1.024291  3.7324  3.4217  0.9097  3.7914  2.8971  2.4172  2.2715  2.2173  2.2019
 186  1.024700  3.7315  3.4030  0.9247  3.7634  2.8633  2.3802  2.2330  2.1777  2.1618
 187  1.025108  3.7305  3.3842  0.9401  3.7341  2.8286  2.3422  2.1936  2.1373  2.1210
 188  1.025513  3.7297  3.3655  0.9557  3.7031  2.7928  2.3038  2.1539  2.0966  2.0799
 189  1.025914  3.7290  3.3469  0.9716  3.6707  2.7562  2.2647  2.1136  2.0555  2.0384
 190  1.026315  3.7283  3.3282  0.9876  3.6374  2.7188  2.2250  2.0728  2.0138  1.9964
 191  1.026713  3.7276  3.3094  1.0038  3.6035  2.6811  2.1849  2.0317  1.9719  1.9541
 192  1.027109  3.7270  3.2906  1.0203  3.5690  2.6428  2.1444  1.9900  1.9295  1.9114
 193  1.027504  3.7263  3.2717  1.0368  3.5336  2.6040  2.1035  1.9481  1.8868  1.8684
 194  1.027896  3.7258  3.2528  1.0536  3.4972  2.5645  2.0621  1.9058  1.8439  1.8252
 195  1.028288  3.7252  3.2340  1.0705  3.4603  2.5247  2.0205  1.8632  1.8006  1.7816
 196  1.028669  3.7245  3.2139  1.0881  3.4225  2.4834  1.9768  1.8185  1.7551  1.7358
 197  1.029043  3.7240  3.1936  1.1063  3.3824  2.4404  1.9319  1.7726  1.7086  1.6889
 198  1.029401  3.7234  3.1721  1.1256  3.3401  2.3949  1.8842  1.7239  1.6591  1.6393
 199  1.029756  3.7228  3.1503  1.1450  3.2973  2.3489  1.8361  1.6748  1.6093  1.5890
 200  1.030097  3.7222  3.1277  1.1653  3.2526  2.3010  1.7861  1.6237  1.5574  1.5369
 201  1.030431  3.7215  3.1045  1.1860  3.2068  2.2523  1.7351  1.5715  1.5045  1.4836
 202  1.030754  3.7209  3.0806  1.2074  3.1595  2.2019  1.6825  1.5178  1.4498  1.4285
 203  1.031065  3.7202  3.0562  1.2294  3.1108  2.1501  1.6283  1.4624  1.3936  1.3720
 204  1.031367  3.7195  3.0310  1.2517  3.0613  2.0973  1.5731  1.4059  1.3362  1.3143
 205  1.031659  3.7187  3.0053  1.2746  3.0113  2.0436  1.5168  1.3483  1.2777  1.2555
 206  1.031942  3.7179  2.9789  1.2978  2.9611  1.9893  1.4597  1.2899  1.2182  1.1955
 207  1.032216  3.7170  2.9518  1.3215  2.9107  1.9343  1.4018  1.2304  1.1576  1.1344
 208  1.032481  3.7162  2.9245  1.3454  2.8596  1.8786  1.3430  1.1701  1.0962  1.0726
 209  1.032736  3.7152  2.8965  1.3697  2.8083  1.8223  1.2835  1.1089  1.0339  1.0098
 210  1.032984  3.7142  2.8681  1.3943  2.7569  1.7655  1.2234  1.0472  0.9710  0.9463
 211  1.033223  3.7131  2.8388  1.4191  2.7071  1.7090  1.1629  0.9848  0.9071  0.8819
 212  1.033452  3.7122  2.8101  1.4443  2.6535  1.6504  1.1013  0.9215  0.8427  0.8170
 213  1.033673  3.7111  2.7805  1.4697  2.6017  1.5922  1.0393  0.8578  0.7775  0.7512
 214  1.033886  3.7099  2.7497  1.4953  2.5528  1.5349  0.9773  0.7935  0.7116  0.6846
 215  1.034090  3.7087  2.7195  1.5212  2.5012  1.4760  0.9144  0.7286  0.6453  0.6177
 216  1.034286  3.7075  2.6889  1.5473  2.4503  1.4168  0.8509  0.6631  0.5783  0.5500
 217  1.034318  3.7073  2.6839  1.5515  2.4423  1.4071  0.8405  0.6524  0.5674  0.5390
 218  1.034349  3.7072  2.6788  1.5558  2.4343  1.3974  0.8301  0.6416  0.5563  0.5278
 219  1.034380  3.7070  2.6738  1.5601  2.4262  1.3877  0.8196  0.6307  0.5453  0.5166
 220  1.034411  3.7067  2.6686  1.5645  2.4182  1.3779  0.8090  0.6199  0.5341  0.5054
 221  1.034441  3.7066  2.6635  1.5688  2.4101  1.3681  0.7984  0.6090  0.5229  0.4941
